Company Name,Final Category
Associated Power Structures Private Limited,cat-b
MEDI ASSIST INSURANCE TPA PRIVATE LIMITED,cat-b
SHRENIK INDUSTRIES PRIVATE LIMITED,cat-c
Zinios Information Technologies Pvt Ltd,cat-d
Semillas Fito India Pvt Ltd,cat-b
BAXALTA BIOSCIENCE INDIA PRIVATE LIMITED,cat-b
JAIKA VEHICLE TRADE PRIVATE LIMITED,cat-c
HLL BIOTECH LIMITED,cat-b
SURGIMEDIK HEALTHCARE INDIA PRIVATE LIMITED,cat-d
VOLITION CREDIT AND HOLDINGS PRIVATE LIMITED,cat-d
COREINTEGRA CONSULTING SERVICES PRIVATE LIMITED,cat-d
NGA HR INDIA PRIVATE LIMITED,cat-b
SWISS MILITARY LIFESTYLE PRODUCTS PRIVATE LIMITED,cat-c
GMT INFOTECH PRIVATE LIMITED,cat-d
EXOTICA HOUSING PRIVATE LIMITED,cat-c
IMAGINARIUM INDIA PRIVATE LIMITED,cat-d
KAPBROS ENGINEERING INDUSTRIES LIMITED,cat-d
PATCOS COSMETICS INDIA PVT LTD,cat-d
M K PRINTPACK PRIVATE LIMITED,cat-d
BELONG TECHNOLOGIES INDIA PVT LTD,cat-c
Quicklogic software india pvt ltd,cat-c
ORBIT COATINGS PVT LTD,cat-d
Ever Electronics Pvt Ltd,cat-c
UNITEDHEALTHCARE PAREKH INSURANCE TPA PRIVATE LIMITED,cat-c
PANEL DECOR PRIVATE LIMITED,cat-d
INFONATIVE SOLUTIONS PVT LTD,cat-d
E COM STREET INFOSERVICES INDIA PRIVATE LIMITED,cat-d
Design Smith private limited,cat-d
Coral Telecom Limited,cat-c
LANCE ENERGY SOLUTIONS PRIVATE LIMITED,cat-d
CIENA COMMUNICATIONS INDIA PRIVATE LIMITED,cat-c
ENTAB INFOTECH PVT LTD,cat-d
BHAVNA SOFTWARE INDIA PRIVATE LIMITED,cat-c
GREY ORANGE INDIA PVT LTD,cat-c
LOCOVIDA DIGITAL SOLUTIONS PVT LTD,cat-d
NORTHSTAR SOLAR POWER PRIVATE LIMITED,cat-b
Devpriya Industries Pvt Ltd,cat-b
PARALLEL HR SOLUTIONS PRIVATE LIMITED,cat-d
SHRIRANG PRAKASHAN PRIVATE LIMITED,cat-d
GDN ENTERPRISES PRIVATE LIMITED,cat-b
SOUTH INDIA SHELTERS PRIVATE LIMITED,cat-b
VIDRES INDIA CERAMICS PRIVATE LIMITED,cat-c
EDELWEISS ASSET MANAGEMENT LIMITED,cat-b
ESSAE DIGITRONICS PVT LTD,cat-b
AAR BEE FREIGHT FORWARDERS PRIVATE LIMITED,cat-d
CORPORATE FLYERS PRIVATE LIMITED,cat-c
SIKKA INFRASTRUCTURE PRIVATE LIMITED,cat-d
jai raj print pack pvt ltd,cat-d
SHUBHHOMES REALCON PRIVATE LIMITED,cat-d
J S B AUTO PRIVATE LIMITED,cat-d
SANYA HOSPITALITY PRIVATE LIMITED,cat-c
