NAME OF THE COMPANY,CATEGORY
3M INDIA LIMITED,elite
ABB INDIA LIMITED,elite
ADANI ENTERPRISES LIMITED (FORMERLY ADANI EXPORTS LIMITED),elite
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,elite
ADANI POWER LIMITED,elite
ADITYA ACQUISITION COMPANY LIMITED.,elite
ADITYA BIRLA CHEMICALS (INDIA) LIMITED,elite
ADITYA BIRLA FINANCE LIMITED,elite
ADITYA BIRLA FINANCIAL SERVICES GROUP,elite
ADITYA BIRLA GROUP POWER PROJECTS,elite
ADITYA BIRLA NUVO LIMITED,elite
ADITYA PHARMA PRIVATE LIMITED,elite
ADVINUS THERAPEUTICS,elite
AKZO NOBEL INDIA LIMITED,elite
ALKALOIDA CHEMICAL COMPANY ZRT.,elite
ALKEM LABORATORIES LIMITED,elite
ALLAHABAD BANK,elite
ALLCARGO LOGISTICS LIMITED,elite
AMARA RAJA BATTERIES LIMITED,elite
AMBUJA CEMENTS LIMITED,elite
ANDHRA BANK,elite
APOLLO HOSPITALS ENTERPRISE LIMITED,elite
APOLLO TYRES LIMITED,elite
ASHOK LEYLAND LIMITED,elite
ASIAN PAINTS LIMITED,elite
ASSOCIATED BUILDING COMPANY,elite
ASSOCIATED CEMENT COS LIMITED (ACC LIMITED),elite
AUROBINDO PHARMA LIMITED,elite
AXIS BANK LIMITED,elite
BAJAJ AUTO LIMITED,elite
BAJAJ ELECTRICALS LIMITED,elite
BAJAJ FINANCE LIMITED,elite
BAJAJ HOLDINGS & INVESTMENT LIMITED,elite
BALKRISHNA INDUSTRIES LIMITED,elite
BANK OF BARODA,elite
BANK OF INDIA,elite
BASF INDIA LIMITED,elite
BATA INDIA LIMITED,elite
BAYER CROPSCIENCE LIMITED,elite
BEML LIMITED,elite
BENNETT COLEMAN COMPANY LIMITED,elite
BERGER PAINTS INDIA LIMITED,elite
BE-TABS INVESTMENTS (PROPRIETARY) LIMITED.,elite
BHARAT ALUMINIUM COMPANY LIMITED,elite
BHARAT ELECTRONICS LIMITED,elite
BHARAT FORGE LIMITED,elite
BHARAT HEAVY ELECTRICALS LIMITED,elite
BHARAT OMAN REFINERIES LIMITED (BORL),elite
BHARAT PETROLEUM CORPORATION LIMITED,elite
BHARAT PETRORESOURCES LIMITED (BPRL),elite
BHARTI AIRTEL LIMITED,elite
BHARTI INFRANET PRIVATE LIMITED,elite
BIOCON LIMITED,elite
BIRLA CENTURY,elite
BIRLA CORPORATION LIMITED,elite
BLUE DART EXPRESS LIMITED,elite
BLUE STAR LIMITED,elite
BONGAIGAON REFINERY & PETROCHEMICALS LIMITED,elite
BOSCH LIMITED,elite
BRITANNIA INDUSTRIES LIMITED,elite
BSES RAJDHANI POWER LIMITED,elite
NAME OF THE COMPANY,CATEGORY
CADILA HEALTHCARE LIMITED,elite
CAIRN INDIA LIMITED,elite
CANARA BANK,elite
CASA DÉCOR,elite
CASTROL INDIA LIMITED,elite
CENTRAL BANK OF INDIA,elite
CENTRAL COALFEILDS LIMITED,elite
CENTRAL PARK ENTERPRISES DMCC,elite
CENTURY DENIM,elite
CENTURY RAYON,elite
CENTURY TEXTILES & INDUSTRIES LIMITED,elite
CESC LIMITED,elite
CHAMBAL FERTILISERS & CHEMICALS LIMITED,elite
CHENNAI PETROLEUM CORPORATION LIMITED,elite
CHOLAMANDALAM INVESTMENT & FINANCE COMPANY,elite
CHOWGULE & COMPANY PRIVATE LIMITED,elite
CIPLA LIMITED,elite
CISCO SYSTEMS INDIA PRIVATE LIMITED,elite
CITI BANK NA,elite
CITY UNION BANK LIMITED,elite
"COGNIZANT TECHNOLOGY SOLUTIONS & T-SYSTEMS INDIA
PRIVATE LIMITED(NON BPO/ CALL CENTRE EMP)",elite
COLGATE-PALMOLIVE (INDIA) LIMITED,elite
"COMPUTER SCIENCE CORPORATION INDIA PRIVATE LIMITED (CSC
PRIVATE LIMITED)",elite
CONTAINER CORPN OF INDIA LIMITED,elite
COROMANDEL INTERNATIONAL LIMITED,elite
CORPORATION BANK,elite
CREDA-HPCL BIOFUEL LIMITED (CHBL),elite
CROMPTON GREAVES LIMITED,elite
CUMMINS INDIA LIMITED,elite
DABUR INDIA LIMITED,elite
DB CORP LIMITED,elite
DEEPAK FERTILISERS & PETROCHEMICALS CORPN LIMITED,elite
DELL INDIA PRIVATE LIMITED,elite
DENA BANK,elite
DEUTSCHE BANK AG,elite
DIVIS LABORATORIES LIMITED,elite
DR REDDY'S LABORATORIES LIMITED,elite
DRIVE INDIA ENTERPRISE SOLUTIONS LIMITED,elite
EDGEVERVE SYSTEMS LIMITED,elite
EIH LIMITED,elite
EMAMI LIMITED,elite
EMC DATA STORAGE SYSTEMS INDIA PRIVATE LIMITED,elite
EMC SOFTWARE AND SERVICES INDIA PRIVATE LIMITED,elite
ENGINEERS INDIA LIMITED,elite
ESSEL MINNING & INDUSTRIES LIMITED,elite
EXIDE INDUSTRIES LIMITED,elite
EXPORT-IMPORT BANK OF INDIA,elite
EY GLOBAL DELIVERY SERVICES,elite
FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED,elite
FAG BEARINGS INDIA LIMITED,elite
FASTSTONE MERCANTILE COMPANY PRIVATE LIMITED,elite
G A I L (INDIA) LIMITED,elite
GE POWER INDIA LIMITED,elite
GE T&D INDIA LIMITED,elite
GENNEXT INNOVATION VENTURES PRIVATE LIMITED,elite
GEOMETRIC LIMITED.,elite
GIC (GOVERNMENT OF SINGAPORE INVESTMENT CORPORATION),elite
GILLETTE INDIA LIMITED,elite
GLAXOSMITHKLINE CONSUMER HEALTHCARE LIMITED,elite
